,Edad,Mujer,Combat.hunterX,Emotion.hunterX,Qual.hunterX,Duration.hunterX,Rating.hunterX,Combat.dragonball,Emotion.dragonball,Qual.dragonball,Duration.dragonball,Rating.dragonball,Combat.naruto,Emotion.naruto,Qual.naruto,Duration.naruto,Rating.naruto,Combat.bnha,Emotion.bnha,Qual.bnha,Duration.bnha,Rating.bnha
6431,32,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
8347,45,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
10225,44,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
4321,27,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
11599,41,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
838,43,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
11894,42,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
8736,26,0,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
3899,30,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
10191,33,0,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
3567,41,1,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
11113,27,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
5452,29,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
3087,30,0,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
7801,34,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
10652,37,1,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
4546,42,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
4692,42,0,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
1714,41,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
4270,34,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
339,38,1,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
8918,25,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
4086,43,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
11846,43,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
9757,34,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
9913,37,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
588,24,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
3365,42,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
2670,39,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
5515,31,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
3589,42,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
34,41,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
28,41,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
2395,39,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
9706,44,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
6826,35,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
5506,30,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
6632,44,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
2170,43,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
7440,25,0,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
6752,24,1,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
889,44,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
3878,35,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
3322,28,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
11273,36,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
3514,36,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
6390,49,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
10005,41,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
5673,47,0,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
7772,33,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
3733,40,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
6802,32,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
11355,31,1,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
9365,32,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
4528,39,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
1654,39,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
7464,37,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
7283,30,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
223,46,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
10340,47,1,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
8784,47,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
10928,44,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
5982,35,1,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
4239,48,0,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
5882,40,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
1590,45,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
8416,38,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
3256,39,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
6691,48,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
6903,27,1,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
2181,26,0,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
8157,37,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
11484,44,0,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
7111,28,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
9569,27,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
9392,42,1,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
10315,46,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
4817,40,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
6934,30,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
6535,28,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
1209,38,0,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
7469,37,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
421,28,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
10490,26,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
1706,41,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
1158,37,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
2306,43,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
273,46,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
171,35,0,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
3956,34,1,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
5606,46,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
7173,28,0,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
4865,32,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
8054,44,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
3188,47,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
1725,27,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
6206,32,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
8188,36,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
1564,43,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
1782,29,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
843,38,1,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
11213,29,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
7798,47,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
904,34,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
3494,24,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
11604,24,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
7406,27,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
1547,29,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
10014,49,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
2080,27,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
9162,36,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
10397,39,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
6497,26,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
3985,42,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
8677,25,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
10032,28,0,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
8545,27,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
8803,34,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
10573,34,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
4677,29,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
3820,25,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
5209,32,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
2646,45,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
6443,26,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
9190,39,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
7388,39,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
256,40,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
9096,37,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
4350,39,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
8468,30,1,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
9281,44,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
5923,41,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
2155,36,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
8764,47,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
10661,27,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
3715,34,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
4057,44,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
10355,47,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
9948,29,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
3622,39,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
5648,49,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
6458,36,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
3102,49,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
558,37,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
6679,27,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
6321,28,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
1436,30,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
507,46,1,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
5275,44,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
4472,47,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
1869,40,0,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
5663,29,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
6452,42,1,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
5930,38,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
8387,46,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
755,24,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
7445,25,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
7855,42,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
4050,33,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
10199,33,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
3836,47,1,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
4386,34,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
9101,37,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
2118,42,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
9244,37,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
729,38,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
501,40,0,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
9781,29,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
643,30,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
7202,33,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
1539,29,0,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
10722,44,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
1211,38,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
8854,29,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
10936,49,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
672,26,0,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
4915,34,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
6106,48,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
6939,32,1,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
3377,29,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
4476,37,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
5615,46,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
10845,46,0,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
1464,40,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
4745,32,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
11248,39,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
1192,25,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
3793,48,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
1872,30,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
3590,42,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
3158,41,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
9688,26,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
505,46,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
243,27,0,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
5678,44,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
506,46,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
9810,43,1,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
10472,41,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
6407,43,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
8052,44,0,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
6670,42,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
6758,35,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
7233,47,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
1773,24,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
6227,45,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
8191,36,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
7104,28,0,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
9800,47,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
797,46,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
3618,39,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
2381,39,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
2829,45,0,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
9940,33,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
11179,32,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
11510,25,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
4633,46,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
312,28,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
746,24,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
3569,41,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
790,30,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
2476,38,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
6120,45,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
6929,30,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
11188,30,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
2570,44,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
5753,24,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
7669,46,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
10368,31,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
5599,46,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
9473,24,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
4355,39,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
2163,43,1,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
8810,35,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
8639,25,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
380,39,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
10918,35,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
1292,29,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
1912,27,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
6613,43,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
599,24,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
3892,30,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
4141,41,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
5540,46,1,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
1652,39,1,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
7803,34,1,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
9456,43,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
1893,37,0,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
1944,44,0,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
3395,49,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
7934,27,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
4362,44,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
11719,43,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
375,39,0,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
1966,43,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
3957,34,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
8063,44,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
10525,25,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
4423,48,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
5351,42,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
5696,49,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
1243,36,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
11946,41,1,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
9674,49,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
6518,41,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
7482,35,1,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
7672,46,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
1471,40,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
3346,27,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
4522,26,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
2657,31,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
2853,38,0,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
4506,26,1,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
11370,32,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
10777,40,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
11726,25,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
4045,33,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
4062,44,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
5326,46,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
7517,29,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
9048,39,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
6947,32,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
4306,47,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
5139,41,0,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
7058,34,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
9243,37,1,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
9606,24,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
3990,42,1,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
1049,38,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
3823,25,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
9529,42,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
10410,49,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
2035,28,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
4039,25,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
11427,39,0,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
