"","Expertos","Capitulos","Animes","Edad","Mujer","CantCaps","Scoremyanimelist","NEscenasCombate","NescenasEmocionantes","CalidadAnimacion","DuracionCapituloMin","RatingTV","Eleccion"
"239.12.1",239,12,1,39,1,575,8.15,11,5,5,37,7,0
"239.12.2",239,12,2,39,1,720,8.18,8,3,1,43,37,1
"239.12.3",239,12,3,39,1,148,9.07,11,0,7,59,5,0
"239.12.4",239,12,4,39,1,113,8.04,2,0,2,30,38,0
"240.1.1",240,1,1,48,1,575,8.15,1,6,7,37,5,0
"240.1.2",240,1,2,48,1,720,8.18,3,2,7,35,31,1
"240.1.3",240,1,3,48,1,148,9.07,14,3,8,57,36,0
"240.1.4",240,1,4,48,1,113,8.04,2,3,3,57,17,0
"240.2.1",240,2,1,48,1,575,8.15,8,0,2,50,30,0
"240.2.2",240,2,2,48,1,720,8.18,4,3,4,42,19,0
"240.2.3",240,2,3,48,1,148,9.07,2,5,3,46,35,1
"240.2.4",240,2,4,48,1,113,8.04,12,1,5,38,17,0
"240.3.1",240,3,1,48,1,575,8.15,10,5,3,54,34,1
"240.3.2",240,3,2,48,1,720,8.18,10,2,7,42,11,0
"240.3.3",240,3,3,48,1,148,9.07,8,4,9,46,6,0
"240.3.4",240,3,4,48,1,113,8.04,3,2,2,42,8,0
"240.4.1",240,4,1,48,1,575,8.15,14,4,2,43,22,0
"240.4.2",240,4,2,48,1,720,8.18,14,3,2,37,24,0
"240.4.3",240,4,3,48,1,148,9.07,10,2,8,43,37,1
"240.4.4",240,4,4,48,1,113,8.04,10,0,8,43,6,0
"240.5.1",240,5,1,48,1,575,8.15,7,6,4,49,8,0
"240.5.2",240,5,2,48,1,720,8.18,9,4,2,56,17,0
"240.5.3",240,5,3,48,1,148,9.07,14,4,5,30,27,0
"240.5.4",240,5,4,48,1,113,8.04,12,2,7,55,16,1
"240.6.1",240,6,1,48,1,575,8.15,3,4,4,34,22,1
"240.6.2",240,6,2,48,1,720,8.18,0,1,8,51,18,0
"240.6.3",240,6,3,48,1,148,9.07,12,1,7,35,15,0
"240.6.4",240,6,4,48,1,113,8.04,12,3,8,47,29,0
"240.7.1",240,7,1,48,1,575,8.15,5,6,4,32,34,1
"240.7.2",240,7,2,48,1,720,8.18,5,2,4,42,22,0
"240.7.3",240,7,3,48,1,148,9.07,2,3,1,34,6,0
"240.7.4",240,7,4,48,1,113,8.04,9,3,8,51,5,0
"240.8.1",240,8,1,48,1,575,8.15,4,6,4,54,6,0
"240.8.2",240,8,2,48,1,720,8.18,8,5,2,34,5,0
"240.8.3",240,8,3,48,1,148,9.07,10,2,5,57,38,0
"240.8.4",240,8,4,48,1,113,8.04,10,3,8,40,28,1
"240.9.1",240,9,1,48,1,575,8.15,6,5,5,37,14,0
"240.9.2",240,9,2,48,1,720,8.18,9,6,8,54,12,1
"240.9.3",240,9,3,48,1,148,9.07,5,6,6,32,18,0
"240.9.4",240,9,4,48,1,113,8.04,0,5,2,33,23,0
"240.10.1",240,10,1,48,1,575,8.15,5,2,4,41,26,1
"240.10.2",240,10,2,48,1,720,8.18,11,1,3,41,11,0
"240.10.3",240,10,3,48,1,148,9.07,5,1,3,40,18,0
"240.10.4",240,10,4,48,1,113,8.04,0,6,9,49,37,0
"240.11.1",240,11,1,48,1,575,8.15,2,3,4,36,13,0
"240.11.2",240,11,2,48,1,720,8.18,3,3,7,42,10,0
"240.11.3",240,11,3,48,1,148,9.07,10,6,3,57,33,1
"240.11.4",240,11,4,48,1,113,8.04,0,1,9,44,25,0
"240.12.1",240,12,1,48,1,575,8.15,11,5,5,37,7,0
"240.12.2",240,12,2,48,1,720,8.18,8,3,1,43,37,1
"240.12.3",240,12,3,48,1,148,9.07,11,0,7,59,5,0
"240.12.4",240,12,4,48,1,113,8.04,2,0,2,30,38,0
"241.1.1",241,1,1,48,1,575,8.15,1,6,7,37,5,0
"241.1.2",241,1,2,48,1,720,8.18,3,2,7,35,31,1
"241.1.3",241,1,3,48,1,148,9.07,14,3,8,57,36,0
"241.1.4",241,1,4,48,1,113,8.04,2,3,3,57,17,0
"241.2.1",241,2,1,48,1,575,8.15,8,0,2,50,30,0
"241.2.2",241,2,2,48,1,720,8.18,4,3,4,42,19,0
"241.2.3",241,2,3,48,1,148,9.07,2,5,3,46,35,1
"241.2.4",241,2,4,48,1,113,8.04,12,1,5,38,17,0
"241.3.1",241,3,1,48,1,575,8.15,10,5,3,54,34,1
"241.3.2",241,3,2,48,1,720,8.18,10,2,7,42,11,0
"241.3.3",241,3,3,48,1,148,9.07,8,4,9,46,6,0
"241.3.4",241,3,4,48,1,113,8.04,3,2,2,42,8,0
"241.4.1",241,4,1,48,1,575,8.15,14,4,2,43,22,0
"241.4.2",241,4,2,48,1,720,8.18,14,3,2,37,24,0
"241.4.3",241,4,3,48,1,148,9.07,10,2,8,43,37,1
"241.4.4",241,4,4,48,1,113,8.04,10,0,8,43,6,0
"241.5.1",241,5,1,48,1,575,8.15,7,6,4,49,8,0
"241.5.2",241,5,2,48,1,720,8.18,9,4,2,56,17,0
"241.5.3",241,5,3,48,1,148,9.07,14,4,5,30,27,0
"241.5.4",241,5,4,48,1,113,8.04,12,2,7,55,16,1
"241.6.1",241,6,1,48,1,575,8.15,3,4,4,34,22,1
"241.6.2",241,6,2,48,1,720,8.18,0,1,8,51,18,0
"241.6.3",241,6,3,48,1,148,9.07,12,1,7,35,15,0
"241.6.4",241,6,4,48,1,113,8.04,12,3,8,47,29,0
"241.7.1",241,7,1,48,1,575,8.15,5,6,4,32,34,1
"241.7.2",241,7,2,48,1,720,8.18,5,2,4,42,22,0
"241.7.3",241,7,3,48,1,148,9.07,2,3,1,34,6,0
"241.7.4",241,7,4,48,1,113,8.04,9,3,8,51,5,0
"241.8.1",241,8,1,48,1,575,8.15,4,6,4,54,6,0
"241.8.2",241,8,2,48,1,720,8.18,8,5,2,34,5,0
"241.8.3",241,8,3,48,1,148,9.07,10,2,5,57,38,0
"241.8.4",241,8,4,48,1,113,8.04,10,3,8,40,28,1
"241.9.1",241,9,1,48,1,575,8.15,6,5,5,37,14,0
"241.9.2",241,9,2,48,1,720,8.18,9,6,8,54,12,1
"241.9.3",241,9,3,48,1,148,9.07,5,6,6,32,18,0
"241.9.4",241,9,4,48,1,113,8.04,0,5,2,33,23,0
"241.10.1",241,10,1,48,1,575,8.15,5,2,4,41,26,1
"241.10.2",241,10,2,48,1,720,8.18,11,1,3,41,11,0
"241.10.3",241,10,3,48,1,148,9.07,5,1,3,40,18,0
"241.10.4",241,10,4,48,1,113,8.04,0,6,9,49,37,0
"241.11.1",241,11,1,48,1,575,8.15,2,3,4,36,13,0
"241.11.2",241,11,2,48,1,720,8.18,3,3,7,42,10,0
"241.11.3",241,11,3,48,1,148,9.07,10,6,3,57,33,1
"241.11.4",241,11,4,48,1,113,8.04,0,1,9,44,25,0
"241.12.1",241,12,1,48,1,575,8.15,11,5,5,37,7,0
"241.12.2",241,12,2,48,1,720,8.18,8,3,1,43,37,1
"241.12.3",241,12,3,48,1,148,9.07,11,0,7,59,5,0
"241.12.4",241,12,4,48,1,113,8.04,2,0,2,30,38,0
"242.1.1",242,1,1,41,1,575,8.15,1,6,7,37,5,0
"242.1.2",242,1,2,41,1,720,8.18,3,2,7,35,31,1
"242.1.3",242,1,3,41,1,148,9.07,14,3,8,57,36,0
"242.1.4",242,1,4,41,1,113,8.04,2,3,3,57,17,0
"242.2.1",242,2,1,41,1,575,8.15,8,0,2,50,30,0
"242.2.2",242,2,2,41,1,720,8.18,4,3,4,42,19,0
"242.2.3",242,2,3,41,1,148,9.07,2,5,3,46,35,1
"242.2.4",242,2,4,41,1,113,8.04,12,1,5,38,17,0
"242.3.1",242,3,1,41,1,575,8.15,10,5,3,54,34,1
"242.3.2",242,3,2,41,1,720,8.18,10,2,7,42,11,0
"242.3.3",242,3,3,41,1,148,9.07,8,4,9,46,6,0
"242.3.4",242,3,4,41,1,113,8.04,3,2,2,42,8,0
"242.4.1",242,4,1,41,1,575,8.15,14,4,2,43,22,0
"242.4.2",242,4,2,41,1,720,8.18,14,3,2,37,24,0
"242.4.3",242,4,3,41,1,148,9.07,10,2,8,43,37,1
"242.4.4",242,4,4,41,1,113,8.04,10,0,8,43,6,0
"242.5.1",242,5,1,41,1,575,8.15,7,6,4,49,8,0
"242.5.2",242,5,2,41,1,720,8.18,9,4,2,56,17,0
"242.5.3",242,5,3,41,1,148,9.07,14,4,5,30,27,0
"242.5.4",242,5,4,41,1,113,8.04,12,2,7,55,16,1
"242.6.1",242,6,1,41,1,575,8.15,3,4,4,34,22,1
"242.6.2",242,6,2,41,1,720,8.18,0,1,8,51,18,0
"242.6.3",242,6,3,41,1,148,9.07,12,1,7,35,15,0
"242.6.4",242,6,4,41,1,113,8.04,12,3,8,47,29,0
"242.7.1",242,7,1,41,1,575,8.15,5,6,4,32,34,1
"242.7.2",242,7,2,41,1,720,8.18,5,2,4,42,22,0
"242.7.3",242,7,3,41,1,148,9.07,2,3,1,34,6,0
"242.7.4",242,7,4,41,1,113,8.04,9,3,8,51,5,0
"242.8.1",242,8,1,41,1,575,8.15,4,6,4,54,6,0
"242.8.2",242,8,2,41,1,720,8.18,8,5,2,34,5,0
"242.8.3",242,8,3,41,1,148,9.07,10,2,5,57,38,0
"242.8.4",242,8,4,41,1,113,8.04,10,3,8,40,28,1
"242.9.1",242,9,1,41,1,575,8.15,6,5,5,37,14,0
"242.9.2",242,9,2,41,1,720,8.18,9,6,8,54,12,1
"242.9.3",242,9,3,41,1,148,9.07,5,6,6,32,18,0
"242.9.4",242,9,4,41,1,113,8.04,0,5,2,33,23,0
"242.10.1",242,10,1,41,1,575,8.15,5,2,4,41,26,1
"242.10.2",242,10,2,41,1,720,8.18,11,1,3,41,11,0
"242.10.3",242,10,3,41,1,148,9.07,5,1,3,40,18,0
"242.10.4",242,10,4,41,1,113,8.04,0,6,9,49,37,0
"242.11.1",242,11,1,41,1,575,8.15,2,3,4,36,13,0
"242.11.2",242,11,2,41,1,720,8.18,3,3,7,42,10,0
"242.11.3",242,11,3,41,1,148,9.07,10,6,3,57,33,1
"242.11.4",242,11,4,41,1,113,8.04,0,1,9,44,25,0
"242.12.1",242,12,1,41,1,575,8.15,11,5,5,37,7,0
"242.12.2",242,12,2,41,1,720,8.18,8,3,1,43,37,1
"242.12.3",242,12,3,41,1,148,9.07,11,0,7,59,5,0
"242.12.4",242,12,4,41,1,113,8.04,2,0,2,30,38,0
"243.1.1",243,1,1,44,0,575,8.15,1,6,7,37,5,0
"243.1.2",243,1,2,44,0,720,8.18,3,2,7,35,31,1
"243.1.3",243,1,3,44,0,148,9.07,14,3,8,57,36,0
"243.1.4",243,1,4,44,0,113,8.04,2,3,3,57,17,0
"243.2.1",243,2,1,44,0,575,8.15,8,0,2,50,30,0
"243.2.2",243,2,2,44,0,720,8.18,4,3,4,42,19,0
"243.2.3",243,2,3,44,0,148,9.07,2,5,3,46,35,1
"243.2.4",243,2,4,44,0,113,8.04,12,1,5,38,17,0
"243.3.1",243,3,1,44,0,575,8.15,10,5,3,54,34,1
"243.3.2",243,3,2,44,0,720,8.18,10,2,7,42,11,0
"243.3.3",243,3,3,44,0,148,9.07,8,4,9,46,6,0
"243.3.4",243,3,4,44,0,113,8.04,3,2,2,42,8,0
"243.4.1",243,4,1,44,0,575,8.15,14,4,2,43,22,0
"243.4.2",243,4,2,44,0,720,8.18,14,3,2,37,24,0
"243.4.3",243,4,3,44,0,148,9.07,10,2,8,43,37,1
"243.4.4",243,4,4,44,0,113,8.04,10,0,8,43,6,0
"243.5.1",243,5,1,44,0,575,8.15,7,6,4,49,8,0
"243.5.2",243,5,2,44,0,720,8.18,9,4,2,56,17,0
"243.5.3",243,5,3,44,0,148,9.07,14,4,5,30,27,0
"243.5.4",243,5,4,44,0,113,8.04,12,2,7,55,16,1
"243.6.1",243,6,1,44,0,575,8.15,3,4,4,34,22,1
"243.6.2",243,6,2,44,0,720,8.18,0,1,8,51,18,0
"243.6.3",243,6,3,44,0,148,9.07,12,1,7,35,15,0
"243.6.4",243,6,4,44,0,113,8.04,12,3,8,47,29,0
"243.7.1",243,7,1,44,0,575,8.15,5,6,4,32,34,1
"243.7.2",243,7,2,44,0,720,8.18,5,2,4,42,22,0
"243.7.3",243,7,3,44,0,148,9.07,2,3,1,34,6,0
"243.7.4",243,7,4,44,0,113,8.04,9,3,8,51,5,0
"243.8.1",243,8,1,44,0,575,8.15,4,6,4,54,6,0
"243.8.2",243,8,2,44,0,720,8.18,8,5,2,34,5,0
"243.8.3",243,8,3,44,0,148,9.07,10,2,5,57,38,0
"243.8.4",243,8,4,44,0,113,8.04,10,3,8,40,28,1
"243.9.1",243,9,1,44,0,575,8.15,6,5,5,37,14,0
"243.9.2",243,9,2,44,0,720,8.18,9,6,8,54,12,1
"243.9.3",243,9,3,44,0,148,9.07,5,6,6,32,18,0
"243.9.4",243,9,4,44,0,113,8.04,0,5,2,33,23,0
"243.10.1",243,10,1,44,0,575,8.15,5,2,4,41,26,1
"243.10.2",243,10,2,44,0,720,8.18,11,1,3,41,11,0
"243.10.3",243,10,3,44,0,148,9.07,5,1,3,40,18,0
"243.10.4",243,10,4,44,0,113,8.04,0,6,9,49,37,0
"243.11.1",243,11,1,44,0,575,8.15,2,3,4,36,13,0
"243.11.2",243,11,2,44,0,720,8.18,3,3,7,42,10,0
"243.11.3",243,11,3,44,0,148,9.07,10,6,3,57,33,1
"243.11.4",243,11,4,44,0,113,8.04,0,1,9,44,25,0
"243.12.1",243,12,1,44,0,575,8.15,11,5,5,37,7,0
"243.12.2",243,12,2,44,0,720,8.18,8,3,1,43,37,1
"243.12.3",243,12,3,44,0,148,9.07,11,0,7,59,5,0
"243.12.4",243,12,4,44,0,113,8.04,2,0,2,30,38,0
"244.1.1",244,1,1,28,1,575,8.15,1,6,7,37,5,0
"244.1.2",244,1,2,28,1,720,8.18,3,2,7,35,31,1
"244.1.3",244,1,3,28,1,148,9.07,14,3,8,57,36,0
"244.1.4",244,1,4,28,1,113,8.04,2,3,3,57,17,0
"244.2.1",244,2,1,28,1,575,8.15,8,0,2,50,30,0
"244.2.2",244,2,2,28,1,720,8.18,4,3,4,42,19,0
"244.2.3",244,2,3,28,1,148,9.07,2,5,3,46,35,1
"244.2.4",244,2,4,28,1,113,8.04,12,1,5,38,17,0
"244.3.1",244,3,1,28,1,575,8.15,10,5,3,54,34,1
"244.3.2",244,3,2,28,1,720,8.18,10,2,7,42,11,0
"244.3.3",244,3,3,28,1,148,9.07,8,4,9,46,6,0
"244.3.4",244,3,4,28,1,113,8.04,3,2,2,42,8,0
"244.4.1",244,4,1,28,1,575,8.15,14,4,2,43,22,0
"244.4.2",244,4,2,28,1,720,8.18,14,3,2,37,24,0
"244.4.3",244,4,3,28,1,148,9.07,10,2,8,43,37,1
"244.4.4",244,4,4,28,1,113,8.04,10,0,8,43,6,0
"244.5.1",244,5,1,28,1,575,8.15,7,6,4,49,8,0
"244.5.2",244,5,2,28,1,720,8.18,9,4,2,56,17,0
"244.5.3",244,5,3,28,1,148,9.07,14,4,5,30,27,0
"244.5.4",244,5,4,28,1,113,8.04,12,2,7,55,16,1
"244.6.1",244,6,1,28,1,575,8.15,3,4,4,34,22,1
"244.6.2",244,6,2,28,1,720,8.18,0,1,8,51,18,0
"244.6.3",244,6,3,28,1,148,9.07,12,1,7,35,15,0
"244.6.4",244,6,4,28,1,113,8.04,12,3,8,47,29,0
"244.7.1",244,7,1,28,1,575,8.15,5,6,4,32,34,1
"244.7.2",244,7,2,28,1,720,8.18,5,2,4,42,22,0
"244.7.3",244,7,3,28,1,148,9.07,2,3,1,34,6,0
"244.7.4",244,7,4,28,1,113,8.04,9,3,8,51,5,0
"244.8.1",244,8,1,28,1,575,8.15,4,6,4,54,6,0
"244.8.2",244,8,2,28,1,720,8.18,8,5,2,34,5,0
"244.8.3",244,8,3,28,1,148,9.07,10,2,5,57,38,0
"244.8.4",244,8,4,28,1,113,8.04,10,3,8,40,28,1
"244.9.1",244,9,1,28,1,575,8.15,6,5,5,37,14,0
"244.9.2",244,9,2,28,1,720,8.18,9,6,8,54,12,1
"244.9.3",244,9,3,28,1,148,9.07,5,6,6,32,18,0
"244.9.4",244,9,4,28,1,113,8.04,0,5,2,33,23,0
"244.10.1",244,10,1,28,1,575,8.15,5,2,4,41,26,1
"244.10.2",244,10,2,28,1,720,8.18,11,1,3,41,11,0
"244.10.3",244,10,3,28,1,148,9.07,5,1,3,40,18,0
"244.10.4",244,10,4,28,1,113,8.04,0,6,9,49,37,0
"244.11.1",244,11,1,28,1,575,8.15,2,3,4,36,13,0
"244.11.2",244,11,2,28,1,720,8.18,3,3,7,42,10,0
"244.11.3",244,11,3,28,1,148,9.07,10,6,3,57,33,1
"244.11.4",244,11,4,28,1,113,8.04,0,1,9,44,25,0
"244.12.1",244,12,1,28,1,575,8.15,11,5,5,37,7,0
"244.12.2",244,12,2,28,1,720,8.18,8,3,1,43,37,1
"244.12.3",244,12,3,28,1,148,9.07,11,0,7,59,5,0
"244.12.4",244,12,4,28,1,113,8.04,2,0,2,30,38,0
"245.1.1",245,1,1,41,1,575,8.15,1,6,7,37,5,0
"245.1.2",245,1,2,41,1,720,8.18,3,2,7,35,31,1
"245.1.3",245,1,3,41,1,148,9.07,14,3,8,57,36,0
"245.1.4",245,1,4,41,1,113,8.04,2,3,3,57,17,0
"245.2.1",245,2,1,41,1,575,8.15,8,0,2,50,30,0
"245.2.2",245,2,2,41,1,720,8.18,4,3,4,42,19,0
"245.2.3",245,2,3,41,1,148,9.07,2,5,3,46,35,1
"245.2.4",245,2,4,41,1,113,8.04,12,1,5,38,17,0
"245.3.1",245,3,1,41,1,575,8.15,10,5,3,54,34,1
"245.3.2",245,3,2,41,1,720,8.18,10,2,7,42,11,0
"245.3.3",245,3,3,41,1,148,9.07,8,4,9,46,6,0
"245.3.4",245,3,4,41,1,113,8.04,3,2,2,42,8,0
"245.4.1",245,4,1,41,1,575,8.15,14,4,2,43,22,0
"245.4.2",245,4,2,41,1,720,8.18,14,3,2,37,24,0
"245.4.3",245,4,3,41,1,148,9.07,10,2,8,43,37,1
"245.4.4",245,4,4,41,1,113,8.04,10,0,8,43,6,0
"245.5.1",245,5,1,41,1,575,8.15,7,6,4,49,8,0
"245.5.2",245,5,2,41,1,720,8.18,9,4,2,56,17,0
"245.5.3",245,5,3,41,1,148,9.07,14,4,5,30,27,0
"245.5.4",245,5,4,41,1,113,8.04,12,2,7,55,16,1
"245.6.1",245,6,1,41,1,575,8.15,3,4,4,34,22,1
"245.6.2",245,6,2,41,1,720,8.18,0,1,8,51,18,0
"245.6.3",245,6,3,41,1,148,9.07,12,1,7,35,15,0
"245.6.4",245,6,4,41,1,113,8.04,12,3,8,47,29,0
"245.7.1",245,7,1,41,1,575,8.15,5,6,4,32,34,1
"245.7.2",245,7,2,41,1,720,8.18,5,2,4,42,22,0
"245.7.3",245,7,3,41,1,148,9.07,2,3,1,34,6,0
"245.7.4",245,7,4,41,1,113,8.04,9,3,8,51,5,0
"245.8.1",245,8,1,41,1,575,8.15,4,6,4,54,6,0
"245.8.2",245,8,2,41,1,720,8.18,8,5,2,34,5,0
"245.8.3",245,8,3,41,1,148,9.07,10,2,5,57,38,0
"245.8.4",245,8,4,41,1,113,8.04,10,3,8,40,28,1
"245.9.1",245,9,1,41,1,575,8.15,6,5,5,37,14,0
"245.9.2",245,9,2,41,1,720,8.18,9,6,8,54,12,1
"245.9.3",245,9,3,41,1,148,9.07,5,6,6,32,18,0
"245.9.4",245,9,4,41,1,113,8.04,0,5,2,33,23,0
"245.10.1",245,10,1,41,1,575,8.15,5,2,4,41,26,1
"245.10.2",245,10,2,41,1,720,8.18,11,1,3,41,11,0
"245.10.3",245,10,3,41,1,148,9.07,5,1,3,40,18,0
"245.10.4",245,10,4,41,1,113,8.04,0,6,9,49,37,0
"245.11.1",245,11,1,41,1,575,8.15,2,3,4,36,13,0
"245.11.2",245,11,2,41,1,720,8.18,3,3,7,42,10,0
"245.11.3",245,11,3,41,1,148,9.07,10,6,3,57,33,1
"245.11.4",245,11,4,41,1,113,8.04,0,1,9,44,25,0
"245.12.1",245,12,1,41,1,575,8.15,11,5,5,37,7,0
"245.12.2",245,12,2,41,1,720,8.18,8,3,1,43,37,1
"245.12.3",245,12,3,41,1,148,9.07,11,0,7,59,5,0
"245.12.4",245,12,4,41,1,113,8.04,2,0,2,30,38,0
"246.1.1",246,1,1,37,1,575,8.15,1,6,7,37,5,0
"246.1.2",246,1,2,37,1,720,8.18,3,2,7,35,31,1
"246.1.3",246,1,3,37,1,148,9.07,14,3,8,57,36,0
"246.1.4",246,1,4,37,1,113,8.04,2,3,3,57,17,0
"246.2.1",246,2,1,37,1,575,8.15,8,0,2,50,30,0
"246.2.2",246,2,2,37,1,720,8.18,4,3,4,42,19,0
"246.2.3",246,2,3,37,1,148,9.07,2,5,3,46,35,1
"246.2.4",246,2,4,37,1,113,8.04,12,1,5,38,17,0
"246.3.1",246,3,1,37,1,575,8.15,10,5,3,54,34,1
"246.3.2",246,3,2,37,1,720,8.18,10,2,7,42,11,0
"246.3.3",246,3,3,37,1,148,9.07,8,4,9,46,6,0
"246.3.4",246,3,4,37,1,113,8.04,3,2,2,42,8,0
"246.4.1",246,4,1,37,1,575,8.15,14,4,2,43,22,0
"246.4.2",246,4,2,37,1,720,8.18,14,3,2,37,24,0
"246.4.3",246,4,3,37,1,148,9.07,10,2,8,43,37,1
"246.4.4",246,4,4,37,1,113,8.04,10,0,8,43,6,0
"246.5.1",246,5,1,37,1,575,8.15,7,6,4,49,8,0
"246.5.2",246,5,2,37,1,720,8.18,9,4,2,56,17,0
"246.5.3",246,5,3,37,1,148,9.07,14,4,5,30,27,0
"246.5.4",246,5,4,37,1,113,8.04,12,2,7,55,16,1
"246.6.1",246,6,1,37,1,575,8.15,3,4,4,34,22,1
"246.6.2",246,6,2,37,1,720,8.18,0,1,8,51,18,0
"246.6.3",246,6,3,37,1,148,9.07,12,1,7,35,15,0
"246.6.4",246,6,4,37,1,113,8.04,12,3,8,47,29,0
"246.7.1",246,7,1,37,1,575,8.15,5,6,4,32,34,1
"246.7.2",246,7,2,37,1,720,8.18,5,2,4,42,22,0
"246.7.3",246,7,3,37,1,148,9.07,2,3,1,34,6,0
"246.7.4",246,7,4,37,1,113,8.04,9,3,8,51,5,0
"246.8.1",246,8,1,37,1,575,8.15,4,6,4,54,6,0
"246.8.2",246,8,2,37,1,720,8.18,8,5,2,34,5,0
"246.8.3",246,8,3,37,1,148,9.07,10,2,5,57,38,0
"246.8.4",246,8,4,37,1,113,8.04,10,3,8,40,28,1
"246.9.1",246,9,1,37,1,575,8.15,6,5,5,37,14,0
"246.9.2",246,9,2,37,1,720,8.18,9,6,8,54,12,1
"246.9.3",246,9,3,37,1,148,9.07,5,6,6,32,18,0
"246.9.4",246,9,4,37,1,113,8.04,0,5,2,33,23,0
"246.10.1",246,10,1,37,1,575,8.15,5,2,4,41,26,1
"246.10.2",246,10,2,37,1,720,8.18,11,1,3,41,11,0
"246.10.3",246,10,3,37,1,148,9.07,5,1,3,40,18,0
"246.10.4",246,10,4,37,1,113,8.04,0,6,9,49,37,0
"246.11.1",246,11,1,37,1,575,8.15,2,3,4,36,13,0
"246.11.2",246,11,2,37,1,720,8.18,3,3,7,42,10,0
"246.11.3",246,11,3,37,1,148,9.07,10,6,3,57,33,1
"246.11.4",246,11,4,37,1,113,8.04,0,1,9,44,25,0
"246.12.1",246,12,1,37,1,575,8.15,11,5,5,37,7,0
"246.12.2",246,12,2,37,1,720,8.18,8,3,1,43,37,1
"246.12.3",246,12,3,37,1,148,9.07,11,0,7,59,5,0
"246.12.4",246,12,4,37,1,113,8.04,2,0,2,30,38,0
"247.1.1",247,1,1,39,0,575,8.15,1,6,7,37,5,0
"247.1.2",247,1,2,39,0,720,8.18,3,2,7,35,31,1
"247.1.3",247,1,3,39,0,148,9.07,14,3,8,57,36,0
"247.1.4",247,1,4,39,0,113,8.04,2,3,3,57,17,0
"247.2.1",247,2,1,39,0,575,8.15,8,0,2,50,30,0
"247.2.2",247,2,2,39,0,720,8.18,4,3,4,42,19,0
"247.2.3",247,2,3,39,0,148,9.07,2,5,3,46,35,1
"247.2.4",247,2,4,39,0,113,8.04,12,1,5,38,17,0
"247.3.1",247,3,1,39,0,575,8.15,10,5,3,54,34,1
"247.3.2",247,3,2,39,0,720,8.18,10,2,7,42,11,0
"247.3.3",247,3,3,39,0,148,9.07,8,4,9,46,6,0
"247.3.4",247,3,4,39,0,113,8.04,3,2,2,42,8,0
"247.4.1",247,4,1,39,0,575,8.15,14,4,2,43,22,0
"247.4.2",247,4,2,39,0,720,8.18,14,3,2,37,24,0
"247.4.3",247,4,3,39,0,148,9.07,10,2,8,43,37,1
"247.4.4",247,4,4,39,0,113,8.04,10,0,8,43,6,0
"247.5.1",247,5,1,39,0,575,8.15,7,6,4,49,8,0
"247.5.2",247,5,2,39,0,720,8.18,9,4,2,56,17,0
"247.5.3",247,5,3,39,0,148,9.07,14,4,5,30,27,0
"247.5.4",247,5,4,39,0,113,8.04,12,2,7,55,16,1
"247.6.1",247,6,1,39,0,575,8.15,3,4,4,34,22,1
"247.6.2",247,6,2,39,0,720,8.18,0,1,8,51,18,0
"247.6.3",247,6,3,39,0,148,9.07,12,1,7,35,15,0
"247.6.4",247,6,4,39,0,113,8.04,12,3,8,47,29,0
"247.7.1",247,7,1,39,0,575,8.15,5,6,4,32,34,1
"247.7.2",247,7,2,39,0,720,8.18,5,2,4,42,22,0
"247.7.3",247,7,3,39,0,148,9.07,2,3,1,34,6,0
"247.7.4",247,7,4,39,0,113,8.04,9,3,8,51,5,0
"247.8.1",247,8,1,39,0,575,8.15,4,6,4,54,6,0
"247.8.2",247,8,2,39,0,720,8.18,8,5,2,34,5,0
"247.8.3",247,8,3,39,0,148,9.07,10,2,5,57,38,0
"247.8.4",247,8,4,39,0,113,8.04,10,3,8,40,28,1
"247.9.1",247,9,1,39,0,575,8.15,6,5,5,37,14,0
"247.9.2",247,9,2,39,0,720,8.18,9,6,8,54,12,1
"247.9.3",247,9,3,39,0,148,9.07,5,6,6,32,18,0
"247.9.4",247,9,4,39,0,113,8.04,0,5,2,33,23,0
"247.10.1",247,10,1,39,0,575,8.15,5,2,4,41,26,1
"247.10.2",247,10,2,39,0,720,8.18,11,1,3,41,11,0
"247.10.3",247,10,3,39,0,148,9.07,5,1,3,40,18,0
"247.10.4",247,10,4,39,0,113,8.04,0,6,9,49,37,0
"247.11.1",247,11,1,39,0,575,8.15,2,3,4,36,13,0
"247.11.2",247,11,2,39,0,720,8.18,3,3,7,42,10,0
"247.11.3",247,11,3,39,0,148,9.07,10,6,3,57,33,1
"247.11.4",247,11,4,39,0,113,8.04,0,1,9,44,25,0
"247.12.1",247,12,1,39,0,575,8.15,11,5,5,37,7,0
"247.12.2",247,12,2,39,0,720,8.18,8,3,1,43,37,1
"247.12.3",247,12,3,39,0,148,9.07,11,0,7,59,5,0
"247.12.4",247,12,4,39,0,113,8.04,2,0,2,30,38,0
"248.1.1",248,1,1,30,1,575,8.15,1,6,7,37,5,0
"248.1.2",248,1,2,30,1,720,8.18,3,2,7,35,31,1
"248.1.3",248,1,3,30,1,148,9.07,14,3,8,57,36,0
"248.1.4",248,1,4,30,1,113,8.04,2,3,3,57,17,0
"248.2.1",248,2,1,30,1,575,8.15,8,0,2,50,30,0
"248.2.2",248,2,2,30,1,720,8.18,4,3,4,42,19,0
"248.2.3",248,2,3,30,1,148,9.07,2,5,3,46,35,1
"248.2.4",248,2,4,30,1,113,8.04,12,1,5,38,17,0
"248.3.1",248,3,1,30,1,575,8.15,10,5,3,54,34,1
